step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,3.12189,0.220338,0.237126,6e-05,1
200,2.68105,0.265515,0.243859,0.00012,1
300,2.42235,0.300681,0.252115,0.00018,1
400,2.27284,0.324977,0.258276,0.00024,1
500,2.17167,0.34721,0.262861,0.0003,1
600,2.0773,0.375741,0.272034,0.000299999,1
700,1.97676,0.414412,0.284452,0.000299994,1
800,1.86796,0.459471,0.30038,0.000299987,1
900,1.76797,0.500652,0.316829,0.000299976,1
1000,1.68755,0.533648,0.330967,0.000299963,1
1100,1.61593,0.562967,0.343582,0.000299947,1
1200,1.55015,0.589072,0.355514,0.000299928,1
1300,1.49457,0.611324,0.365637,0.000299906,1
1400,1.44323,0.631764,0.37483,0.00029988,1
1500,1.39638,0.649915,0.383707,0.000299852,1
1600,1.35416,0.666046,0.392031,0.000299821,1
1700,1.31562,0.68058,0.399894,0.000299788,1
1800,1.28314,0.693025,0.406468,0.000299751,1
1900,1.25303,0.704498,0.412772,0.000299711,1
2000,1.22485,0.714979,0.418761,0.000299668,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
2000,,,,,,0.693828,0.251895,1.13576,0.915725,0.532102
2100,1.19992,0.724236,0.424116,0.000299622,1,,,,,
2200,1.17701,0.732955,0.42884,0.000299574,1,,,,,
2300,1.15511,0.741021,0.433669,0.000299522,1,,,,,
2400,0.682501,0.918524,0.537278,0.000299468,2,,,,,
2500,0.671839,0.921134,0.540156,0.00029941,2,,,,,
2600,0.662747,0.92181,0.544252,0.00029935,2,,,,,
2700,0.656463,0.92226,0.548499,0.000299286,2,,,,,
2800,0.654157,0.922513,0.550058,0.00029922,2,,,,,
2900,0.653688,0.922905,0.550565,0.000299151,2,,,,,
3000,0.652389,0.923556,0.551178,0.000299079,2,,,,,
3100,0.649814,0.923826,0.55269,0.000299003,2,,,,,
3200,0.647092,0.924264,0.554109,0.000298925,2,,,,,
3300,0.645056,0.92455,0.555304,0.000298844,2,,,,,
3400,0.644836,0.924988,0.555384,0.000298761,2,,,,,
3500,0.643475,0.925203,0.5562,0.000298674,2,,,,,
3600,0.642723,0.925262,0.556738,0.000298584,2,,,,,
3700,0.641291,0.925675,0.557436,0.000298491,2,,,,,
3800,0.639656,0.92611,0.558091,0.000298396,2,,,,,
3900,0.637504,0.926378,0.559239,0.000298297,2,,,,,
4000,0.635584,0.926671,0.560226,0.000298196,2,,,,,
4000,,,,,,0.605909,0.197494,1.01432,0.930846,0.584301
4100,0.633657,0.927008,0.561324,0.000298091,2,,,,,
4200,0.632427,0.927297,0.562051,0.000297984,2,,,,,
4300,0.631271,0.927467,0.562788,0.000297874,2,,,,,
4400,0.629997,0.927556,0.563598,0.000297761,2,,,,,
4500,0.62927,0.927659,0.564128,0.000297645,2,,,,,
4600,0.628374,0.927839,0.56456,0.000297526,2,,,,,
4700,0.611825,0.933731,0.573745,0.000297404,3,,,,,
4800,0.598917,0.935413,0.580849,0.00029728,3,,,,,
4900,0.597864,0.934668,0.580764,0.000297152,3,,,,,
5000,0.594901,0.934087,0.583044,0.000297022,3,,,,,
5100,0.59441,0.933542,0.584172,0.000296888,3,,,,,
5200,0.59494,0.933613,0.583833,0.000296752,3,,,,,
5300,0.594736,0.934041,0.58381,0.000296613,3,,,,,
5400,0.594255,0.934139,0.584284,0.000296471,3,,,,,
5500,0.593376,0.934029,0.584889,0.000296326,3,,,,,
5600,0.592701,0.934049,0.585087,0.000296178,3,,,,,
5700,0.59299,0.934222,0.58487,0.000296028,3,,,,,
5800,0.593211,0.934322,0.584811,0.000295874,3,,,,,
5900,0.592918,0.9342,0.585063,0.000295718,3,,,,,
6000,0.592764,0.934339,0.585179,0.000295559,3,,,,,
6000,,,,,,0.581158,0.179992,0.982323,0.935498,0.596799
6100,0.592421,0.934562,0.585096,0.000295396,3,,,,,
6200,0.59164,0.934614,0.58547,0.000295231,3,,,,,
6300,0.590975,0.934649,0.585758,0.000295064,3,,,,,
6400,0.589936,0.934773,0.586324,0.000294893,3,,,,,
6500,0.589543,0.934896,0.586586,0.00029472,3,,,,,
6600,0.589165,0.93498,0.58689,0.000294543,3,,,,,
6700,0.588741,0.934958,0.587229,0.000294364,3,,,,,
6800,0.5886,0.934878,0.587447,0.000294182,3,,,,,
6900,0.588454,0.934978,0.587406,0.000293997,3,,,,,
7000,0.588016,0.935014,0.587726,0.000293809,3,,,,,
7100,0.576549,0.939159,0.594464,0.000293619,4,,,,,
7200,0.575368,0.93908,0.594262,0.000293426,4,,,,,
7300,0.574131,0.93808,0.594954,0.00029323,4,,,,,
7400,0.573016,0.937489,0.59656,0.000293031,4,,,,,
7500,0.573739,0.937068,0.596424,0.000292829,4,,,,,
7600,0.574128,0.937488,0.59616,0.000292624,4,,,,,
7700,0.574334,0.937655,0.596058,0.000292417,4,,,,,
7800,0.573714,0.937441,0.596569,0.000292207,4,,,,,
7900,0.573328,0.937382,0.596714,0.000291994,4,,,,,
8000,0.573502,0.937334,0.59673,0.000291778,4,,,,,
8000,,,,,,0.570906,0.174902,0.96691,0.936985,0.603125
8100,0.573607,0.937641,0.59655,0.00029156,4,,,,,
8200,0.573683,0.937539,0.596531,0.000291338,4,,,,,
8300,0.573903,0.937486,0.596469,0.000291114,4,,,,,
8400,0.57383,0.937656,0.596435,0.000290887,4,,,,,
8500,0.573641,0.937735,0.596367,0.000290658,4,,,,,
