timestamp_iso,n_events,score,inf_ms,queue_depth
2026-03-31T23:44:10.680036,23576,9.809713,4572.94,50
2026-03-31T23:44:19.063821,1242,8.544896,6214.97,50
2026-03-31T23:44:25.379375,121,11.289804,3825.08,50
2026-03-31T23:44:31.065643,111,10.182708,3125.30,50
2026-03-31T23:44:37.568028,12,8.354072,3768.52,50
2026-03-31T23:44:44.416801,516,10.498792,4556.17,50
2026-03-31T23:44:50.064215,9,10.422875,3097.42,50
2026-03-31T23:44:55.699589,166,10.375126,4012.55,50
2026-03-31T23:44:57.615088,9,9.684552,1329.11,50
2026-03-31T23:45:02.502568,12,9.117757,2024.29,50
2026-03-31T23:45:07.559599,23,11.074517,2894.76,50
2026-03-31T23:45:13.436481,1604,7.801579,4012.79,50
2026-03-31T23:45:19.343854,545,10.673690,3362.54,50
2026-03-31T23:45:24.369477,12,8.584255,2859.70,50
2026-03-31T23:45:28.977361,517,7.927799,3824.34,50
2026-03-31T23:45:35.357104,496,11.087024,4777.63,50
2026-03-31T23:45:44.765121,50,13.664337,5850.29,50
2026-03-31T23:45:56.713601,464,11.454627,5852.83,49
2026-03-31T23:46:13.063830,136,8.977470,6862.73,50
2026-03-31T23:46:24.345603,445,8.075893,6619.92,50
2026-03-31T23:46:31.000257,8,10.538007,4394.85,50
2026-03-31T23:46:40.821248,171,9.779214,3735.96,49
2026-03-31T23:46:52.945714,10,7.702345,9385.01,50
2026-03-31T23:47:04.936114,120,12.647097,7171.00,50
2026-03-31T23:47:18.663301,922,10.411612,7888.26,50
2026-03-31T23:47:35.044283,190,11.085125,9337.93,50
2026-03-31T23:47:41.064199,12,8.185479,3034.54,50
2026-03-31T23:47:52.855319,3284,10.834764,7896.52,50
2026-03-31T23:48:06.961560,951,8.710443,9310.50,50
2026-03-31T23:48:24.008333,745,6.229391,9376.83,50
2026-03-31T23:48:42.546700,2938,9.285874,10543.13,49
2026-03-31T23:48:54.001378,157,11.790313,6871.34,49
2026-03-31T23:49:07.728988,2749,9.382779,5436.47,50
2026-03-31T23:49:21.115249,57,10.802593,7965.80,49
2026-03-31T23:49:37.831686,18,10.231565,11084.11,50
2026-03-31T23:49:49.722496,70,9.987282,6860.91,49
2026-03-31T23:49:56.201805,333,10.988674,5320.69,50
2026-03-31T23:50:05.113806,668,13.071990,5459.05,50
2026-03-31T23:50:19.829068,35,11.986048,6734.01,50
2026-03-31T23:50:31.922805,10,8.071160,7439.53,50
2026-03-31T23:50:45.440936,63,10.796451,9386.48,50
2026-03-31T23:50:58.073791,145,9.426254,6835.18,50
2026-03-31T23:51:06.063714,472,8.791667,4796.51,50
2026-03-31T23:51:17.037496,11,8.330884,6386.02,50
2026-03-31T23:51:30.652047,399,8.975686,8245.92,50
2026-03-31T23:51:43.356376,10,8.135742,6652.52,50
2026-03-31T23:51:49.698235,49,9.905545,3578.91,50
2026-03-31T23:51:58.855167,38,9.599107,5557.87,50
2026-03-31T23:52:12.066397,8,9.790750,7999.85,50
2026-03-31T23:52:25.594370,27,9.152624,7367.75,50
2026-03-31T23:52:39.826506,10,9.574496,7563.58,50
2026-03-31T23:52:55.065656,61,10.677392,9166.24,50
2026-03-31T23:53:13.621546,1558,7.951323,8992.78,50
2026-03-31T23:53:27.928096,35,11.937978,8874.10,50
2026-03-31T23:53:38.063762,20,10.642647,7923.30,50
2026-03-31T23:53:50.122206,11,8.645880,8411.55,50
2026-03-31T23:54:03.481414,698,10.964106,8828.11,50
2026-03-31T23:54:16.927136,136,8.036741,6980.92,49
2026-03-31T23:54:23.069861,8,8.932483,2447.34,49
2026-03-31T23:54:28.908416,11,8.500685,1975.28,49
2026-03-31T23:54:39.090707,25,9.258779,6459.16,49
2026-03-31T23:54:54.080561,897,11.676403,11057.76,49
2026-03-31T23:55:06.533042,719,9.252698,9499.51,50
2026-03-31T23:55:18.299844,21,10.255460,7551.43,49
2026-03-31T23:55:32.157139,17,11.208328,8671.93,50
2026-03-31T23:55:45.246134,84,10.486625,9022.00,50
2026-03-31T23:55:52.064137,603,8.776029,4820.93,50
2026-03-31T23:56:02.681287,179,11.798532,5941.00,50
2026-03-31T23:56:08.064430,10,8.060329,4479.33,50
2026-03-31T23:56:26.755921,2133,12.933570,12361.85,49
2026-03-31T23:56:39.823384,719,8.234465,6991.26,50
2026-03-31T23:56:50.063672,104,11.625120,5816.73,50
