timestamp_iso,n_events,score,inf_ms,queue_depth
2026-03-30T18:06:17.733291,17976,9.414564,4384.47,50
2026-03-30T18:06:19.382329,8,12.426563,1151.17,50
2026-03-30T18:06:25.307444,3153,7.419442,4797.32,50
2026-03-30T18:06:28.800102,300,9.844712,2698.09,50
2026-03-30T18:06:32.997012,1091,10.055456,3429.35,50
2026-03-30T18:06:36.628543,369,10.448258,3548.75,50
2026-03-30T18:06:40.216708,389,10.246326,3196.31,50
2026-03-30T18:06:42.228799,9,10.184109,1270.02,50
2026-03-30T18:06:44.755784,240,9.158726,1921.27,50
2026-03-30T18:06:48.323100,215,12.180154,2407.45,50
2026-03-30T18:06:50.396280,91,9.426661,1465.39,50
2026-03-30T18:06:53.425027,292,10.229026,2386.34,50
2026-03-30T18:06:56.671585,290,10.261641,2742.32,50
2026-03-30T18:07:00.819497,393,10.053841,3685.92,50
2026-03-30T18:07:05.821667,2021,7.392391,4462.70,50
2026-03-30T18:07:08.003074,110,10.468771,1606.88,50
2026-03-30T18:07:12.838468,367,12.466894,3957.09,50
2026-03-30T18:07:15.685671,37,10.554199,1454.95,50
2026-03-30T18:07:17.084919,96,12.298787,1238.59,50
2026-03-30T18:07:19.485792,284,9.565286,1859.38,50
2026-03-30T18:07:20.889417,9,10.618366,357.09,50
2026-03-30T18:07:22.623164,54,10.390938,1119.60,50
2026-03-30T18:07:27.665584,5058,9.825153,4771.90,50
2026-03-30T18:07:30.590817,278,11.899350,2855.23,50
2026-03-30T18:07:35.714887,512,11.589655,4602.95,50
2026-03-30T18:07:37.428562,118,9.451396,1251.96,50
2026-03-30T18:07:41.258228,358,9.836040,3334.62,50
2026-03-30T18:07:50.594277,1301,9.038452,4558.97,49
2026-03-30T18:08:10.392573,399,9.892554,10170.59,49
2026-03-30T18:08:28.514628,345,10.062201,9986.83,50
2026-03-30T18:08:47.565943,173,10.536409,12989.74,50
2026-03-30T18:09:01.755024,2355,8.882303,9253.23,49
2026-03-30T18:09:14.341729,28,8.515439,8774.96,50
2026-03-30T18:09:29.313491,10,7.588959,9035.42,49
2026-03-30T18:09:42.185813,1668,10.237729,7428.75,49
2026-03-30T18:09:54.911049,9,10.481006,7535.11,50
2026-03-30T18:10:07.789136,12,8.217714,7406.75,50
2026-03-30T18:10:30.651554,525,8.172789,14318.71,50
2026-03-30T18:10:47.989185,12766,11.502644,9384.75,50
2026-03-30T18:10:54.895070,92,12.276999,3710.14,50
2026-03-30T18:11:05.454878,96,10.160435,6624.73,50
2026-03-30T18:11:18.656630,12,7.906483,7586.61,49
2026-03-30T18:11:35.036384,545,8.110476,7685.12,49
2026-03-30T18:11:46.014385,42,7.784030,1806.53,50
2026-03-30T18:12:00.572396,983,11.396133,9782.67,50
2026-03-30T18:12:22.841466,1487,15.212973,13537.20,50
2026-03-30T18:12:32.167992,78,10.371161,3942.37,50
2026-03-30T18:12:50.324058,291,12.972927,11206.63,50
2026-03-30T18:13:03.926100,88,11.187908,8723.88,50
2026-03-30T18:13:13.830760,16,11.226950,5714.51,50
2026-03-30T18:13:29.651545,127,9.717402,9010.16,50
2026-03-30T18:13:42.172637,1968,8.782825,8992.82,50
2026-03-30T18:13:52.132888,142,9.936763,3938.11,50
2026-03-30T18:13:59.080030,10,8.368958,1252.76,50
2026-03-30T18:14:11.017320,127,9.604022,6505.30,50
2026-03-30T18:14:28.514712,120,8.870089,13000.28,50
2026-03-30T18:14:40.862109,56,11.315817,8714.82,50
2026-03-30T18:14:51.083713,17,9.356814,6747.71,50
2026-03-30T18:15:00.522182,179,10.171084,7123.86,50
2026-03-30T18:15:17.491420,537,7.424133,11974.62,50
2026-03-30T18:15:37.616430,286,13.618798,12301.48,50
2026-03-30T18:15:53.843804,598,12.431828,11688.67,50
2026-03-30T18:16:09.712799,41,12.024489,10452.66,50
2026-03-30T18:16:27.651393,33,10.215202,12677.03,50
2026-03-30T18:16:40.432327,1205,15.348778,9204.90,50
2026-03-30T18:16:57.650579,134,12.190125,8620.28,50
2026-03-30T18:17:09.862827,948,12.769976,8204.96,50
2026-03-30T18:17:25.653592,9,9.421449,10013.42,50
2026-03-30T18:17:33.660622,148,11.333105,4684.08,50
2026-03-30T18:17:45.806098,329,10.592394,6030.67,50
2026-03-30T18:17:59.755330,151,9.885406,11017.44,50
