step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,2.63577,0.220369,0.436675,6e-05,1
200,2.27091,0.306036,0.456869,0.00012,1
300,2.05874,0.372418,0.472777,0.00018,1
400,1.8989,0.441104,0.490432,0.00024,1
500,1.7717,0.500811,0.502976,0.0003,1
600,1.67517,0.547748,0.516218,0.0003,1
700,1.5909,0.588022,0.527439,0.0003,1
800,1.52,0.621368,0.5389,0.000299999,1
900,1.4626,0.647989,0.54867,0.000299999,1
1000,1.41477,0.66964,0.558151,0.000299998,1
1100,1.37324,0.688296,0.566435,0.000299997,1
1200,1.33816,0.703749,0.574444,0.000299996,1
1300,1.30854,0.716874,0.580877,0.000299994,1
1400,1.28153,0.728599,0.587482,0.000299993,1
1500,1.25883,0.738397,0.593019,0.000299991,1
1600,1.23808,0.747345,0.598126,0.000299989,1
1700,1.22011,0.754992,0.602687,0.000299987,1
1800,1.20253,0.762452,0.607329,0.000299985,1
1900,1.18728,0.768769,0.611876,0.000299982,1
2000,1.17568,0.773515,0.615645,0.000299979,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
2000,,,,,,0.888933,1.14595,0.631913,0.883965,0.720638
2100,1.16458,0.778152,0.619209,0.000299977,1,,,,,
2200,1.15217,0.783224,0.623107,0.000299974,1,,,,,
2300,1.14122,0.787782,0.626536,0.00029997,1,,,,,
2400,1.13037,0.792121,0.630194,0.000299967,1,,,,,
2500,1.12051,0.796003,0.633732,0.000299964,1,,,,,
2600,1.11115,0.799794,0.637084,0.00029996,1,,,,,
2700,1.10225,0.803319,0.640219,0.000299956,1,,,,,
2800,1.09345,0.806646,0.64363,0.000299952,1,,,,,
2900,1.08473,0.809902,0.64683,0.000299947,1,,,,,
3000,1.07653,0.812935,0.649982,0.000299943,1,,,,,
3100,1.06844,0.815911,0.65318,0.000299938,1,,,,,
3200,1.061,0.818654,0.656084,0.000299933,1,,,,,
3300,1.05373,0.821387,0.658817,0.000299928,1,,,,,
3400,1.04696,0.823906,0.661352,0.000299923,1,,,,,
3500,1.04028,0.82639,0.663897,0.000299918,1,,,,,
3600,1.03398,0.828721,0.666327,0.000299912,1,,,,,
3700,1.02813,0.830823,0.668715,0.000299907,1,,,,,
3800,1.02271,0.832801,0.67093,0.000299901,1,,,,,
3900,1.01861,0.834459,0.67255,0.000299895,1,,,,,
4000,1.01414,0.83627,0.674254,0.000299888,1,,,,,
4000,,,,,,0.79408,1.06126,0.526903,0.911298,0.772889
4100,1.00981,0.837991,0.675858,0.000299882,1,,,,,
4200,1.00542,0.8397,0.677688,0.000299875,1,,,,,
4300,1.00123,0.841308,0.679325,0.000299868,1,,,,,
4400,0.997021,0.842889,0.681061,0.000299861,1,,,,,
4500,0.992851,0.844363,0.682826,0.000299854,1,,,,,
4600,0.98868,0.845841,0.684537,0.000299847,1,,,,,
4700,0.984612,0.847254,0.686281,0.000299839,1,,,,,
4800,0.981076,0.848496,0.687796,0.000299831,1,,,,,
4900,0.977352,0.849859,0.689376,0.000299823,1,,,,,
5000,0.97414,0.851082,0.690686,0.000299815,1,,,,,
5100,0.970764,0.852318,0.692049,0.000299807,1,,,,,
5200,0.967486,0.853548,0.693449,0.000299798,1,,,,,
5300,0.964154,0.854797,0.694783,0.00029979,1,,,,,
5400,0.961138,0.855939,0.695992,0.000299781,1,,,,,
5500,0.958086,0.85708,0.697207,0.000299772,1,,,,,
5600,0.955062,0.858204,0.698408,0.000299763,1,,,,,
5700,0.952191,0.85927,0.699562,0.000299753,1,,,,,
5800,0.949213,0.860329,0.700807,0.000299744,1,,,,,
5900,0.946376,0.861322,0.702007,0.000299734,1,,,,,
6000,0.9435,0.862289,0.703257,0.000299724,1,,,,,
6000,,,,,,0.769277,1.03674,0.501814,0.923082,0.784973
6100,0.940802,0.863231,0.704378,0.000299714,1,,,,,
6200,0.938103,0.864135,0.705539,0.000299704,1,,,,,
6300,0.935559,0.865037,0.706617,0.000299693,1,,,,,
6400,0.933029,0.865913,0.707688,0.000299682,1,,,,,
6500,0.930509,0.866794,0.708765,0.000299672,1,,,,,
6600,0.92808,0.867628,0.709822,0.000299661,1,,,,,
6700,0.925603,0.86849,0.710885,0.000299649,1,,,,,
6800,0.923243,0.869294,0.711917,0.000299638,1,,,,,
6900,0.920909,0.87011,0.712894,0.000299626,1,,,,,
7000,0.919255,0.870724,0.713757,0.000299615,1,,,,,
7100,0.917537,0.871358,0.714538,0.000299603,1,,,,,
7200,0.915619,0.872075,0.715384,0.000299591,1,,,,,
7300,0.913728,0.872761,0.716213,0.000299578,1,,,,,
7400,0.911876,0.873441,0.717038,0.000299566,1,,,,,
7500,0.910058,0.874089,0.717849,0.000299553,1,,,,,
7600,0.908315,0.874719,0.718593,0.00029954,1,,,,,
7700,0.906564,0.875308,0.719338,0.000299527,1,,,,,
7800,0.904761,0.875945,0.72011,0.000299514,1,,,,,
7900,0.90302,0.876533,0.720854,0.000299501,1,,,,,
8000,0.901372,0.877086,0.721586,0.000299487,1,,,,,
8000,,,,,,0.757873,1.02306,0.492684,0.927133,0.790493
8100,0.899774,0.87762,0.722281,0.000299473,1,,,,,
8200,0.898166,0.878151,0.723,0.000299459,1,,,,,
8300,0.896697,0.878647,0.723627,0.000299445,1,,,,,
8400,0.895306,0.879112,0.724278,0.000299431,1,,,,,
8500,0.893896,0.879629,0.724897,0.000299416,1,,,,,
8600,0.89249,0.880148,0.725503,0.000299402,1,,,,,
8700,0.891107,0.880671,0.726043,0.000299387,1,,,,,
8800,0.889686,0.881188,0.726602,0.000299372,1,,,,,
8900,0.888393,0.88163,0.727161,0.000299357,1,,,,,
9000,0.887004,0.882112,0.727759,0.000299341,1,,,,,
9100,0.885613,0.882586,0.728375,0.000299326,1,,,,,
9200,0.884216,0.883056,0.729007,0.00029931,1,,,,,
9300,0.882891,0.883495,0.729606,0.000299294,1,,,,,
9400,0.780323,0.92478,0.775015,0.000299278,2,,,,,
9500,0.766129,0.927197,0.781192,0.000299261,2,,,,,
9600,0.76356,0.927372,0.782184,0.000299245,2,,,,,
9700,0.762693,0.927135,0.782282,0.000299228,2,,,,,
9800,0.762462,0.927314,0.782185,0.000299211,2,,,,,
9900,0.761857,0.927419,0.781976,0.000299194,2,,,,,
10000,0.761989,0.92744,0.781692,0.000299177,2,,,,,
10000,,,,,,0.74905,1.01484,0.483261,0.929309,0.793924
10100,0.760736,0.927434,0.782085,0.00029916,2,,,,,
10200,0.759873,0.927417,0.782668,0.000299142,2,,,,,
10300,0.759189,0.927306,0.783304,0.000299125,2,,,,,
10400,0.758855,0.927125,0.783615,0.000299107,2,,,,,
10500,0.757736,0.927253,0.784337,0.000299088,2,,,,,
10600,0.757463,0.927084,0.784749,0.00029907,2,,,,,
10700,0.75711,0.927002,0.78511,0.000299052,2,,,,,
10800,0.756451,0.927023,0.785658,0.000299033,2,,,,,
10900,0.756665,0.926821,0.785715,0.000299014,2,,,,,
11000,0.756643,0.926736,0.785712,0.000298995,2,,,,,
11100,0.756827,0.926597,0.785609,0.000298976,2,,,,,
11200,0.756383,0.92673,0.785883,0.000298957,2,,,,,
11300,0.756647,0.92662,0.785838,0.000298937,2,,,,,
11400,0.75689,0.926667,0.785629,0.000298917,2,,,,,
11500,0.757329,0.926662,0.785357,0.000298897,2,,,,,
11600,0.757115,0.926857,0.785325,0.000298877,2,,,,,
11700,0.75705,0.927017,0.785159,0.000298857,2,,,,,
11800,0.757032,0.92709,0.785101,0.000298836,2,,,,,
11900,0.756863,0.927101,0.785335,0.000298816,2,,,,,
12000,0.757022,0.927194,0.785193,0.000298795,2,,,,,
12000,,,,,,0.741548,1.00785,0.475242,0.931423,0.796077
12100,0.756884,0.927228,0.785269,0.000298774,2,,,,,
12200,0.756723,0.927216,0.785434,0.000298753,2,,,,,
12300,0.756348,0.927279,0.785602,0.000298731,2,,,,,
12400,0.756239,0.927204,0.785721,0.00029871,2,,,,,
12500,0.755769,0.927293,0.786057,0.000298688,2,,,,,
12600,0.75559,0.927304,0.786182,0.000298666,2,,,,,
