split,label,count,mean,median,std,min,max
valid_id,normal,197476,0.907921084862384,0.19199346405228757,4.169043349356899,-6.528553283292483,215.02287581699346
test_id,normal,197044,0.7509636657872182,0.13725490196078433,3.147998476762567,-6.528065002042483,130.34313725490196
valid_ood_cpu,anomaly,186473,3.5183375439007807,2.9526143790849675,5.292049413694896,-6.624565972222222,218.00326797385623
valid_ood_disk,anomaly,123240,20.69245912075914,2.8570261437908497,45.61801875480841,-6.528065002042483,221.62418300653596
valid_ood_mem,anomaly,217032,3.5401160497514224,2.7777777777777777,6.391329628698332,-6.656454248366013,171.59150326797388
valid_ood_net,anomaly,120077,4.695535376416758,3.494281045751634,5.796451673275492,-6.373263888888889,221.0751633986928
test_ood_cpu,anomaly,190902,2.666447152577014,2.1756535947712417,4.1857966371547155,-6.64679074754902,144.73529411764707
test_ood_disk,anomaly,123783,20.63102718550343,3.03921568627451,45.68333984346,-6.527630974264706,205.49346405228758
test_ood_mem,anomaly,217461,3.829823027544814,3.0506535947712417,6.957900642103736,-6.628140318627451,215.859477124183
test_ood_net,anomaly,120006,4.884020399068129,3.6797385620915035,5.766699013590531,-6.226051879084967,173.38888888888889
