timestamp_iso,n_events,score,inf_ms,queue_depth
2026-03-30T14:41:23.297472,16187,9.637675,8007.51,50
2026-03-30T14:41:30.348379,320,9.686861,5674.49,49
2026-03-30T14:41:37.801722,538,12.330121,5922.76,49
2026-03-30T14:41:45.685505,99,10.749394,4435.17,49
2026-03-30T14:41:56.516222,1352,10.387531,7241.24,50
2026-03-30T14:42:03.255163,122,10.115941,4603.25,50
2026-03-30T14:42:07.204655,132,13.641938,2405.89,50
2026-03-30T14:42:13.244919,112,11.587229,3571.89,50
2026-03-30T14:42:21.292807,126,10.431197,4992.62,50
2026-03-30T14:42:30.008010,73,10.697834,5191.87,50
2026-03-30T14:42:38.515037,23,11.178643,5385.68,50
2026-03-30T14:42:46.871465,497,7.574056,6263.44,50
2026-03-30T14:43:01.942635,1697,10.238662,12633.85,50
2026-03-30T14:43:15.624807,10,8.599880,8747.04,50
2026-03-30T14:43:22.812991,10,9.206503,5050.02,50
2026-03-30T14:43:33.506756,289,9.251311,6157.82,50
2026-03-30T14:43:48.265572,609,9.414662,10412.99,50
2026-03-30T14:44:00.179769,233,9.066875,9057.71,50
2026-03-30T14:44:09.150458,339,13.211761,6777.23,50
2026-03-30T14:44:17.651830,11,8.392627,4840.24,50
2026-03-30T14:44:29.782719,32,6.769735,6453.82,50
2026-03-30T14:44:41.961401,8,9.932173,8941.50,49
2026-03-30T14:44:50.386639,13,9.166990,4999.74,50
2026-03-30T14:45:01.442732,237,8.111668,5110.27,50
2026-03-30T14:45:15.593895,10,8.377533,9357.62,49
2026-03-30T14:45:23.480073,12,7.324783,5847.37,50
2026-03-30T14:45:36.041877,370,14.422661,8001.83,50
2026-03-30T14:45:49.261258,77,9.989763,6592.32,50
2026-03-30T14:46:00.805693,202,10.502013,8621.46,50
2026-03-30T14:46:11.089483,40,9.485824,8588.57,49
2026-03-30T14:46:26.525610,22,10.722844,11475.22,50
2026-03-30T14:46:42.923390,841,5.524840,8565.44,50
2026-03-30T14:46:59.484067,1165,8.378736,13292.53,50
2026-03-30T14:47:10.805380,597,8.249824,7912.13,50
2026-03-30T14:47:18.690960,9,9.749095,4680.74,50
2026-03-30T14:47:25.651282,12,8.372087,2875.27,50
2026-03-30T14:47:36.759831,390,10.563345,8395.37,50
2026-03-30T14:47:48.953553,26,8.625091,7930.27,50
2026-03-30T14:47:58.077709,20,10.739292,3918.78,50
2026-03-30T14:48:04.761560,10,8.909322,3953.10,50
2026-03-30T14:48:20.858011,410,12.953830,12639.29,50
2026-03-30T14:48:32.321147,756,10.089380,10431.13,50
2026-03-30T14:48:44.082992,676,10.274024,8333.57,49
2026-03-30T14:48:53.746094,12,8.497382,4513.75,50
2026-03-30T14:49:03.684283,13,9.643643,4355.60,49
2026-03-30T14:49:16.180068,83,6.938369,7176.66,49
2026-03-30T14:49:23.651440,12,8.299668,3277.80,50
2026-03-30T14:49:36.281793,27,10.209990,6115.10,50
2026-03-30T14:49:46.642554,464,8.703653,8176.36,49
2026-03-30T14:49:51.156926,23,9.843946,2755.14,50
2026-03-30T14:50:06.014293,1142,10.448098,12416.43,50
2026-03-30T14:50:24.632610,56,9.047106,12131.41,50
2026-03-30T14:50:43.949591,2219,9.832827,11740.40,50
2026-03-30T14:50:55.288817,43,12.249365,6365.79,50
2026-03-30T14:51:14.167917,315,12.622134,12816.35,50
2026-03-30T14:51:26.704516,53,13.282504,6812.00,50
2026-03-30T14:51:38.651477,8,10.098973,6567.39,50
2026-03-30T14:51:56.414685,331,8.551436,10409.98,50
2026-03-30T14:52:05.675338,41,11.407681,6411.82,50
2026-03-30T14:52:19.127906,67,9.781659,7980.92,50
2026-03-30T14:52:31.834856,206,10.813631,10512.88,50
2026-03-30T14:52:47.229800,13,8.007689,7562.60,50
2026-03-30T14:52:58.375742,78,10.049041,6355.97,49
2026-03-30T14:53:16.966449,96,11.581821,9194.15,50
2026-03-30T14:53:30.298495,10,8.646569,10676.56,50
2026-03-30T14:53:39.280610,87,8.417470,5837.03,50
2026-03-30T14:53:47.730803,12,8.113791,5672.18,50
2026-03-30T14:53:50.083706,83,10.220009,1780.29,50
2026-03-30T14:53:55.770205,21,9.644453,5338.32,50
2026-03-30T14:53:59.829622,69,9.744509,2580.99,50
2026-03-30T14:54:07.501034,838,7.610216,5460.91,50
2026-03-30T14:54:20.364748,2839,8.712492,8078.53,50
2026-03-30T14:54:30.807651,75,9.812675,8089.40,50
2026-03-30T14:54:48.514561,57,10.180972,9635.76,50
2026-03-30T14:54:58.601502,11,8.441640,6359.16,50
2026-03-30T14:55:10.349492,9,9.070683,8065.60,50
2026-03-30T14:55:22.625911,110,8.345245,6044.92,49
2026-03-30T14:55:36.781716,918,12.475288,8801.25,50
2026-03-30T14:55:49.541799,58,8.374066,5010.92,50
2026-03-30T14:56:03.410587,235,10.835641,10430.98,50
2026-03-30T14:56:11.524068,133,10.167578,5239.22,49
2026-03-30T14:56:13.072827,10,10.120130,601.70,50
2026-03-30T14:56:13.143535,8,9.666840,69.84,49
2026-03-30T14:56:13.307491,25,11.318814,162.93,48
2026-03-30T14:56:13.389305,8,9.578720,80.86,47
2026-03-30T14:56:13.607738,47,11.028678,217.32,46
2026-03-30T14:56:13.678407,8,10.135554,69.78,45
2026-03-30T14:56:13.756266,10,8.853568,76.95,44
2026-03-30T14:56:14.924061,302,7.300128,1165.28,43
2026-03-30T14:56:15.016783,12,8.310151,91.49,42
2026-03-30T14:56:17.009660,813,8.524509,1989.14,41
2026-03-30T14:56:18.194412,298,8.626753,1181.89,40
2026-03-30T14:56:18.282765,12,10.580581,86.99,39
2026-03-30T14:56:18.367574,12,8.272627,83.76,38
2026-03-30T14:56:18.523925,30,11.279535,155.31,37
2026-03-30T14:56:18.640263,20,9.650627,114.82,36
2026-03-30T14:56:18.865429,46,10.034341,223.92,35
2026-03-30T14:56:18.989244,20,9.064332,122.66,34
2026-03-30T14:56:19.067871,10,9.959857,77.34,33
2026-03-30T14:56:19.696770,102,6.799919,626.22,32
2026-03-30T14:56:20.200196,90,12.082780,500.13,31
2026-03-30T14:56:20.379545,28,10.778598,178.04,30
2026-03-30T14:56:20.458553,10,7.890409,77.92,29
2026-03-30T14:56:20.548291,12,8.055713,88.80,28
2026-03-30T14:56:20.639154,12,7.785308,89.71,27
2026-03-30T14:56:20.895475,56,10.179272,255.14,26
2026-03-30T14:56:22.949612,2316,10.547893,2047.52,25
2026-03-30T14:56:24.024651,276,11.543095,1072.41,24
2026-03-30T14:56:24.156336,24,11.003522,130.48,23
2026-03-30T14:56:24.226010,8,9.746919,68.78,22
2026-03-30T14:56:24.394298,32,11.524276,167.27,21
2026-03-30T14:56:24.794989,96,7.874483,399.29,20
2026-03-30T14:56:25.344267,126,9.935090,547.74,19
2026-03-30T14:56:25.482184,23,9.983445,136.84,18
2026-03-30T14:56:27.431286,1973,11.488404,1942.83,17
2026-03-30T14:56:27.518791,12,8.633784,84.63,16
2026-03-30T14:56:27.599111,10,8.465313,79.47,15
2026-03-30T14:56:27.721066,20,9.814877,121.00,14
2026-03-30T14:56:27.820463,12,7.912769,98.44,13
2026-03-30T14:56:29.835198,738,2.759274,2010.01,12
2026-03-30T14:56:29.987945,30,8.202647,150.67,11
2026-03-30T14:56:30.673013,139,6.729850,683.28,10
2026-03-30T14:56:31.646153,231,7.377761,970.74,9
2026-03-30T14:56:32.806389,298,7.881824,1157.47,8
2026-03-30T14:56:32.891610,12,8.648703,83.92,7
2026-03-30T14:56:33.458535,120,10.506981,565.48,6
2026-03-30T14:56:35.507322,1276,7.681148,2041.51,5
2026-03-30T14:56:35.610006,17,11.244340,100.08,4
2026-03-30T14:56:35.740165,26,10.532627,129.16,3
2026-03-30T14:56:35.946946,42,5.228124,205.31,2
2026-03-30T14:56:36.044302,14,8.236045,96.30,1
2026-03-30T14:56:36.160233,20,11.596670,114.93,0
