step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,2.74721,0.203444,0.491376,6e-05,1
200,2.30602,0.255614,0.491095,0.00012,1
300,2.05399,0.288943,0.496641,0.00018,1
400,1.90421,0.311267,0.501677,0.00024,1
500,1.79985,0.33415,0.505817,0.0003,1
600,1.70018,0.367431,0.512799,0.000299999,1
700,1.5912,0.412981,0.525819,0.000299994,1
800,1.48194,0.460373,0.541929,0.000299987,1
900,1.38466,0.502708,0.557376,0.000299976,1
1000,1.30723,0.536406,0.570905,0.000299963,1
1100,1.23856,0.56619,0.583228,0.000299947,1
1200,1.1782,0.59195,0.594353,0.000299928,1
1300,1.12512,0.614608,0.604431,0.000299906,1
1400,1.07716,0.635043,0.613404,0.00029988,1
1500,1.03391,0.65317,0.621938,0.000299852,1
1600,0.995207,0.669266,0.629748,0.000299821,1
1700,0.960142,0.683736,0.636989,0.000299788,1
1800,0.930038,0.696298,0.643165,0.000299751,1
1900,0.902465,0.707771,0.649009,0.000299711,1
2000,0.876999,0.718224,0.654387,0.000299668,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
2000,,,,,,0.395628,0.240746,0.550509,0.917877,0.760098
2100,0.854387,0.727468,0.659271,0.000299622,1,,,,,
2200,0.833557,0.736157,0.663605,0.000299574,1,,,,,
2300,0.813809,0.744199,0.667983,0.000299522,1,,,,,
2400,0.384385,0.922021,0.762476,0.000299468,2,,,,,
2500,0.376286,0.924265,0.764848,0.00029941,2,,,,,
2600,0.371092,0.924402,0.768049,0.00029935,2,,,,,
2700,0.367388,0.924569,0.771002,0.000299286,2,,,,,
2800,0.365745,0.924688,0.772401,0.00029922,2,,,,,
2900,0.36557,0.925012,0.772302,0.000299151,2,,,,,
3000,0.364661,0.925558,0.772575,0.000299079,2,,,,,
3100,0.363052,0.925736,0.773723,0.000299003,2,,,,,
3200,0.361231,0.926033,0.774883,0.000298925,2,,,,,
3300,0.360143,0.9262,0.775565,0.000298844,2,,,,,
3400,0.359831,0.926676,0.775343,0.000298761,2,,,,,
3500,0.359004,0.926808,0.775889,0.000298674,2,,,,,
3600,0.358643,0.926812,0.77629,0.000298584,2,,,,,
3700,0.357695,0.927183,0.776658,0.000298491,2,,,,,
3800,0.356602,0.927574,0.777036,0.000298396,2,,,,,
3900,0.355291,0.927784,0.777746,0.000298297,2,,,,,
4000,0.354082,0.928025,0.778406,0.000298196,2,,,,,
4000,,,,,,0.336988,0.194507,0.479469,0.93145,0.794569
4100,0.352906,0.928317,0.77907,0.000298091,2,,,,,
4200,0.352106,0.928587,0.779517,0.000297984,2,,,,,
4300,0.351462,0.92871,0.779925,0.000297874,2,,,,,
4400,0.350873,0.928749,0.780295,0.000297761,2,,,,,
4500,0.350605,0.928794,0.780543,0.000297645,2,,,,,
4600,0.350019,0.928963,0.780754,0.000297526,2,,,,,
4700,0.341136,0.934364,0.784103,0.000297404,3,,,,,
4800,0.329828,0.936115,0.790241,0.00029728,3,,,,,
4900,0.330045,0.935279,0.790082,0.000297152,3,,,,,
5000,0.328379,0.934646,0.792192,0.000297022,3,,,,,
5100,0.328475,0.934104,0.792826,0.000296888,3,,,,,
5200,0.328814,0.934191,0.792568,0.000296752,3,,,,,
5300,0.328416,0.934644,0.792344,0.000296613,3,,,,,
5400,0.32817,0.9347,0.79258,0.000296471,3,,,,,
5500,0.327673,0.934557,0.793099,0.000296326,3,,,,,
5600,0.327256,0.934561,0.793245,0.000296178,3,,,,,
5700,0.327442,0.934748,0.792951,0.000296028,3,,,,,
5800,0.327472,0.934877,0.792913,0.000295874,3,,,,,
5900,0.327367,0.934734,0.793159,0.000295718,3,,,,,
6000,0.327259,0.934868,0.793165,0.000295559,3,,,,,
6000,,,,,,0.320748,0.178728,0.462769,0.935389,0.801152
6100,0.326987,0.935085,0.79307,0.000295396,3,,,,,
6200,0.326532,0.935122,0.793295,0.000295231,3,,,,,
6300,0.326174,0.935143,0.793432,0.000295064,3,,,,,
6400,0.325513,0.935251,0.793777,0.000294893,3,,,,,
