step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,2.98301,0.204073,0.279606,6e-05,1
200,2.57196,0.297866,0.304773,0.00012,1
300,2.33499,0.370797,0.321558,0.00018,1
400,2.16331,0.439694,0.341786,0.00024,1
500,2.02772,0.49904,0.356469,0.0003,1
600,1.92387,0.546523,0.371261,0.0003,1
700,1.83305,0.587178,0.384233,0.0003,1
800,1.75688,0.62049,0.39715,0.000299999,1
900,1.69552,0.647134,0.407639,0.000299999,1
1000,1.64433,0.668856,0.417589,0.000299998,1
1100,1.59966,0.687574,0.426308,0.000299997,1
1200,1.56183,0.703093,0.434608,0.000299996,1
1300,1.53004,0.716276,0.440978,0.000299994,1
1400,1.5009,0.728015,0.447758,0.000299993,1
1500,1.47661,0.737797,0.453123,0.000299991,1
1600,1.45425,0.746797,0.458228,0.000299989,1
1700,1.43479,0.754474,0.462721,0.000299987,1
1800,1.41569,0.761987,0.467389,0.000299985,1
1900,1.39905,0.768312,0.471791,0.000299982,1
2000,1.38647,0.773028,0.475419,0.000299979,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
2000,,,,,,1.0749,1.14884,1.00095,0.887575,0.572846
2100,1.37431,0.777704,0.478814,0.000299977,1,,,,,
2200,1.36092,0.782728,0.482558,0.000299974,1,,,,,
2300,1.34894,0.787264,0.485944,0.00029997,1,,,,,
2400,1.33712,0.791645,0.489391,0.000299967,1,,,,,
2500,1.32636,0.795488,0.492748,0.000299964,1,,,,,
2600,1.31629,0.799276,0.495836,0.00029996,1,,,,,
2700,1.30639,0.802814,0.498888,0.000299956,1,,,,,
2800,1.29651,0.806158,0.502408,0.000299952,1,,,,,
2900,1.28677,0.809444,0.505659,0.000299947,1,,,,,
3000,1.27757,0.812504,0.508904,0.000299943,1,,,,,
3100,1.26856,0.815508,0.512092,0.000299938,1,,,,,
3200,1.26027,0.818258,0.514936,0.000299933,1,,,,,
3300,1.25211,0.820987,0.517832,0.000299928,1,,,,,
3400,1.2445,0.823518,0.520495,0.000299923,1,,,,,
3500,1.23696,0.826011,0.523194,0.000299918,1,,,,,
3600,1.22983,0.828368,0.525784,0.000299912,1,,,,,
3700,1.22327,0.830493,0.528188,0.000299907,1,,,,,
3800,1.21724,0.832488,0.530427,0.000299901,1,,,,,
