step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
10000,0.45765,0.939732,0.679363,0.000286886,5,,,,,
10000,,,,,,0.459658,0.167959,0.751357,0.938989,0.681928
10100,0.457471,0.939712,0.67967,0.000286613,5,,,,,
10200,0.457317,0.939523,0.679898,0.000286337,5,,,,,
10300,0.457041,0.939419,0.680091,0.000286058,5,,,,,
10400,0.457166,0.939684,0.679804,0.000285777,5,,,,,
10500,0.45747,0.939691,0.679621,0.000285494,5,,,,,
10600,0.457566,0.939543,0.67972,0.000285207,5,,,,,
10700,0.457631,0.939654,0.679569,0.000284918,5,,,,,
10800,0.457631,0.939766,0.679424,0.000284626,5,,,,,
10900,0.457361,0.939719,0.679582,0.000284332,5,,,,,
11000,0.457086,0.939712,0.679735,0.000284035,5,,,,,
11100,0.45651,0.939771,0.680104,0.000283735,5,,,,,
11200,0.456399,0.939852,0.680208,0.000283433,5,,,,,
11300,0.456434,0.939832,0.680216,0.000283128,5,,,,,
11400,0.456392,0.939732,0.68031,0.000282821,5,,,,,
11500,0.456424,0.939679,0.680392,0.000282511,5,,,,,
11600,0.45653,0.9397,0.680273,0.000282198,5,,,,,
11700,0.456492,0.939683,0.680289,0.000281883,5,,,,,
11800,0.452544,0.942554,0.681533,0.000281565,6,,,,,
11900,0.451234,0.942266,0.682231,0.000281245,6,,,,,
12000,0.450572,0.941318,0.683419,0.000280922,6,,,,,
12000,,,,,,0.457372,0.167611,0.747133,0.939346,0.68444
12100,0.451075,0.94063,0.683679,0.000280597,6,,,,,
12200,0.451812,0.940375,0.683358,0.000280269,6,,,,,
12300,0.452177,0.940781,0.682683,0.000279938,6,,,,,
12400,0.451979,0.940886,0.683011,0.000279605,6,,,,,
12500,0.451877,0.940682,0.683213,0.000279269,6,,,,,
12600,0.451635,0.940567,0.68341,0.000278931,6,,,,,
12700,0.451836,0.940599,0.683307,0.000278591,6,,,,,
12800,0.451868,0.940825,0.683121,0.000278247,6,,,,,
12900,0.452059,0.940677,0.68306,0.000277902,6,,,,,
13000,0.452206,0.94064,0.683028,0.000277554,6,,,,,
13100,0.452215,0.940793,0.682891,0.000277203,6,,,,,
13200,0.452159,0.940797,0.682868,0.00027685,6,,,,,
13300,0.451942,0.940741,0.683024,0.000276494,6,,,,,
13400,0.451514,0.940777,0.683285,0.000276136,6,,,,,
13500,0.45126,0.940816,0.683498,0.000275776,6,,,,,
13600,0.451124,0.940923,0.683527,0.000275413,6,,,,,
13700,0.451154,0.940843,0.683532,0.000275047,6,,,,,
13800,0.451253,0.940687,0.683604,0.000274679,6,,,,,
13900,0.451265,0.940737,0.683574,0.000274309,6,,,,,
14000,0.451466,0.940697,0.683413,0.000273937,6,,,,,
14000,,,,,,0.454419,0.164633,0.744205,0.93996,0.685279
14100,0.449415,0.943199,0.683919,0.000273561,7,,,,,
14200,0.446973,0.943515,0.685103,0.000273184,7,,,,,
14300,0.446994,0.942241,0.685342,0.000272804,7,,,,,
14400,0.4464,0.941657,0.686386,0.000272422,7,,,,,
14500,0.447528,0.941121,0.686012,0.000272037,7,,,,,
14600,0.44812,0.941308,0.685415,0.00027165,7,,,,,
14700,0.448021,0.941597,0.685384,0.000271261,7,,,,,
14800,0.447756,0.941495,0.685785,0.000270869,7,,,,,
14900,0.447725,0.941316,0.685851,0.000270475,7,,,,,
15000,0.447556,0.941215,0.686016,0.000270078,7,,,,,
15100,0.447545,0.94155,0.685854,0.000269679,7,,,,,
15200,0.44796,0.941482,0.685586,0.000269278,7,,,,,
15300,0.448212,0.941328,0.685583,0.000268875,7,,,,,
15400,0.448258,0.941454,0.685451,0.000268469,7,,,,,
15500,0.44819,0.941542,0.68536,0.000268061,7,,,,,
15600,0.448007,0.941471,0.685489,0.000267651,7,,,,,
15700,0.447849,0.94145,0.685587,0.000267238,7,,,,,
15800,0.447294,0.94151,0.685957,0.000266823,7,,,,,
15900,0.44727,0.941581,0.685983,0.000266406,7,,,,,
16000,0.447298,0.941575,0.685954,0.000265987,7,,,,,
16000,,,,,,0.452184,0.163687,0.740681,0.940435,0.686947
16100,0.447382,0.941428,0.685991,0.000265565,7,,,,,
16200,0.447451,0.941395,0.686044,0.000265141,7,,,,,
16300,0.447655,0.941377,0.68585,0.000264715,7,,,,,
16400,0.447624,0.941343,0.685903,0.000264287,7,,,,,
16500,0.443674,0.944026,0.687072,0.000263856,8,,,,,
16600,0.443539,0.943368,0.686909,0.000263423,8,,,,,
16700,0.443217,0.942483,0.688048,0.000262989,8,,,,,
16800,0.443927,0.941903,0.688044,0.000262551,8,,,,,
16900,0.4447,0.941738,0.687762,0.000262112,8,,,,,
17000,0.444864,0.942107,0.687277,0.000261671,8,,,,,
17100,0.444644,0.942159,0.687693,0.000261227,8,,,,,
17200,0.444617,0.941922,0.687865,0.000260781,8,,,,,
17300,0.444344,0.941874,0.688062,0.000260333,8,,,,,
17400,0.444561,0.941965,0.687881,0.000259883,8,,,,,
17500,0.444762,0.94211,0.687621,0.000259431,8,,,,,
17600,0.444933,0.941914,0.68768,0.000258977,8,,,,,
17700,0.444983,0.941967,0.687628,0.00025852,8,,,,,
17800,0.445087,0.942099,0.687394,0.000258062,8,,,,,
17900,0.445003,0.94207,0.687416,0.000257601,8,,,,,
18000,0.444861,0.942016,0.687508,0.000257139,8,,,,,
18000,,,,,,0.45298,0.16636,0.739599,0.939046,0.687569
18100,0.444467,0.942032,0.687769,0.000256674,8,,,,,
18200,0.444277,0.942096,0.687939,0.000256207,8,,,,,
18300,0.444173,0.942161,0.687972,0.000255738,8,,,,,
18400,0.444236,0.942067,0.687957,0.000255268,8,,,,,
18500,0.444404,0.941917,0.687989,0.000254795,8,,,,,
18600,0.444435,0.941979,0.687895,0.00025432,8,,,,,
18700,0.444621,0.941932,0.687772,0.000253843,8,,,,,
18800,0.442014,0.94454,0.688895,0.000253364,9,,,,,
18900,0.441203,0.944386,0.688699,0.000252883,9,,,,,
19000,0.440998,0.943207,0.689324,0.0002524,9,,,,,
19100,0.440608,0.942701,0.690063,0.000251916,9,,,,,
19200,0.441779,0.942214,0.68959,0.000251429,9,,,,,
19300,0.442149,0.942453,0.689128,0.00025094,9,,,,,
19400,0.442109,0.942684,0.68915,0.000250449,9,,,,,
19500,0.441886,0.94248,0.689552,0.000249957,9,,,,,
19600,0.441785,0.942368,0.689638,0.000249462,9,,,,,
19700,0.441929,0.942261,0.689607,0.000248966,9,,,,,
19800,0.44173,0.942594,0.68958,0.000248468,9,,,,,
19900,0.442066,0.942506,0.689362,0.000247968,9,,,,,
20000,0.442289,0.942413,0.689338,0.000247466,9,,,,,
20000,,,,,,0.448086,0.161845,0.734328,0.940585,0.690204
20100,0.442373,0.942517,0.689183,0.000246962,9,,,,,
20200,0.442325,0.942598,0.68907,0.000246456,9,,,,,
20300,0.442153,0.942517,0.689201,0.000245948,9,,,,,
20400,0.442002,0.942491,0.689288,0.000245439,9,,,,,
20500,0.441549,0.942548,0.689643,0.000244928,9,,,,,
20600,0.441464,0.942628,0.689649,0.000244415,9,,,,,
20700,0.441541,0.942588,0.689626,0.0002439,9,,,,,
20800,0.44165,0.942437,0.689671,0.000243383,9,,,,,
20900,0.441716,0.942421,0.689686,0.000242865,9,,,,,
21000,0.441956,0.942397,0.689493,0.000242344,9,,,,,
21100,0.439509,0.946193,0.69059,0.000241822,10,,,,,
21200,0.438253,0.945076,0.69059,0.000241299,10,,,,,
21300,0.438324,0.94412,0.690683,0.000240773,10,,,,,
21400,0.438232,0.943276,0.691581,0.000240246,10,,,,,
21500,0.439189,0.94268,0.691389,0.000239717,10,,,,,
21600,0.43981,0.942681,0.691021,0.000239187,10,,,,,
21700,0.439817,0.942997,0.690645,0.000238654,10,,,,,
21800,0.439569,0.943017,0.691022,0.00023812,10,,,,,
21900,0.439509,0.942823,0.691175,0.000237585,10,,,,,
22000,0.439371,0.942715,0.691322,0.000237048,10,,,,,
22000,,,,,,0.449215,0.163594,0.734835,0.94098,0.689463
22100,0.439543,0.942864,0.691117,0.000236509,10,,,,,
22200,0.439689,0.94297,0.690965,0.000235968,10,,,,,
22300,0.439807,0.942795,0.691009,0.000235426,10,,,,,
22400,0.439948,0.942884,0.690872,0.000234882,10,,,,,
22500,0.440007,0.942993,0.690691,0.000234337,10,,,,,
22600,0.43991,0.942944,0.69074,0.00023379,10,,,,,
22700,0.439833,0.942888,0.690772,0.000233241,10,,,,,
22800,0.439458,0.942893,0.691009,0.000232691,10,,,,,
22900,0.4393,0.942975,0.691137,0.000232139,10,,,,,
23000,0.4392,0.943013,0.691207,0.000231586,10,,,,,
23100,0.43933,0.942906,0.691169,0.000231031,10,,,,,
23200,0.439478,0.942802,0.691184,0.000230475,10,,,,,
23300,0.439538,0.942842,0.691091,0.000229917,10,,,,,
23400,0.439729,0.942788,0.690968,0.000229358,10,,,,,
23500,0.437097,0.94523,0.691898,0.000228797,11,,,,,
23600,0.43568,0.944982,0.692193,0.000228235,11,,,,,
23700,0.436239,0.943915,0.692538,0.000227671,11,,,,,
23800,0.43638,0.943362,0.693014,0.000227106,11,,,,,
23900,0.437633,0.942863,0.692453,0.000226539,11,,,,,
24000,0.437647,0.943285,0.69216,0.000225971,11,,,,,
24000,,,,,,0.446964,0.161055,0.732874,0.940859,0.690717
24100,0.437746,0.943437,0.692026,0.000225401,11,,,,,
24200,0.437556,0.943188,0.6924,0.00022483,11,,,,,
24300,0.437399,0.943095,0.69253,0.000224258,11,,,,,
24400,0.437593,0.943043,0.692463,0.000223684,11,,,,,
24500,0.437488,0.943314,0.692383,0.000223109,11,,,,,
24600,0.437776,0.943196,0.692233,0.000222533,11,,,,,
24700,0.437866,0.943152,0.69228,0.000221955,11,,,,,
24800,0.437973,0.943285,0.692079,0.000221376,11,,,,,
24900,0.437973,0.943318,0.691955,0.000220796,11,,,,,
25000,0.43785,0.943256,0.692019,0.000220214,11,,,,,
25100,0.437626,0.943243,0.692176,0.000219631,11,,,,,
25200,0.437329,0.94328,0.692434,0.000219047,11,,,,,
25300,0.437193,0.94337,0.692476,0.000218461,11,,,,,
25400,0.437254,0.943319,0.692472,0.000217874,11,,,,,
25500,0.437398,0.94317,0.692473,0.000217286,11,,,,,
25600,0.437463,0.943172,0.692458,0.000216697,11,,,,,
25700,0.4377,0.943141,0.692269,0.000216106,11,,,,,
25800,0.434153,0.94643,0.694728,0.000215514,12,,,,,
25900,0.434403,0.945538,0.693086,0.000214921,12,,,,,
26000,0.434403,0.944586,0.693456,0.000214327,12,,,,,
26000,,,,,,0.447401,0.162017,0.732785,0.940557,0.69119
26100,0.434193,0.943862,0.694268,0.000213732,12,,,,,
26200,0.435451,0.943301,0.693835,0.000213135,12,,,,,
26300,0.435914,0.943367,0.693495,0.000212538,12,,,,,
26400,0.435709,0.943699,0.693317,0.000211939,12,,,,,
26500,0.435586,0.943667,0.693595,0.000211339,12,,,,,
26600,0.435621,0.94346,0.693722,0.000210738,12,,,,,
26700,0.43553,0.943343,0.693815,0.000210136,12,,,,,
