timestamp_iso,n_events,score,inf_ms,queue_depth
2026-03-30T13:54:48.939811,10507,9.810422,8460.57,50
2026-03-30T13:54:57.601729,1943,7.636755,8413.12,50
2026-03-30T13:54:58.537515,19,9.944214,733.39,50
2026-03-30T13:54:58.996176,8,10.044007,362.69,50
2026-03-30T13:55:01.094527,123,10.805003,1674.63,50
2026-03-30T13:55:03.128167,78,11.284595,1914.79,50
2026-03-30T13:55:05.807603,121,13.875255,2471.92,50
2026-03-30T13:55:13.873199,480,12.421059,7957.07,50
2026-03-30T13:55:16.506010,150,11.267668,2551.68,49
2026-03-30T13:55:22.906603,415,12.690152,6211.30,50
2026-03-30T13:55:24.333930,71,10.690598,1359.13,50
2026-03-30T13:55:24.836584,11,9.341108,416.83,50
2026-03-30T13:55:25.759167,36,10.152321,720.48,50
2026-03-30T13:55:31.356869,339,12.588175,5486.42,50
2026-03-30T13:55:34.907567,170,10.405034,3096.60,50
2026-03-30T13:55:42.863490,631,10.412834,7703.28,50
2026-03-30T13:55:50.824677,1100,6.628135,7521.69,50
2026-03-30T13:55:54.900707,233,8.468554,3834.05,50
2026-03-30T13:55:58.191674,111,13.077425,2669.85,50
2026-03-30T13:55:59.093777,9,9.415366,650.07,50
2026-03-30T13:56:01.109377,110,9.166769,1702.89,50
2026-03-30T13:56:08.134005,360,14.339112,6856.47,50
2026-03-30T13:56:08.613861,10,9.030663,419.48,50
2026-03-30T13:56:09.206407,12,8.424029,530.50,50
2026-03-30T13:56:09.658785,12,8.327462,274.89,50
2026-03-30T13:56:10.415910,36,11.780342,721.19,50
2026-03-30T13:56:10.933133,12,8.555885,369.72,50
2026-03-30T13:56:12.905140,119,10.624702,1900.08,50
2026-03-30T13:56:13.568224,23,10.927808,498.67,50
2026-03-30T13:56:13.909598,12,8.316009,278.20,50
2026-03-30T13:56:14.285614,12,7.684519,241.53,50
2026-03-30T13:56:20.635492,1749,10.210746,6122.76,50
2026-03-30T13:56:21.948742,29,11.566519,1069.47,50
2026-03-30T13:56:23.077825,8,10.730250,666.33,50
2026-03-30T13:56:28.932000,210,9.972160,2939.29,50
2026-03-30T13:56:32.932775,13,8.586591,1814.94,50
2026-03-30T13:56:38.115666,9,9.562741,3167.82,50
2026-03-30T13:56:44.416421,111,11.536466,3231.58,50
2026-03-30T13:56:51.047782,520,12.988200,6399.80,50
2026-03-30T13:56:56.016063,12,10.837573,2711.18,50
2026-03-30T13:57:05.622321,456,11.088982,6877.81,50
2026-03-30T13:57:16.798617,413,12.392057,6723.49,50
2026-03-30T13:57:29.645950,8556,10.001534,9372.55,50
2026-03-30T13:57:33.175851,231,7.373205,2450.23,50
2026-03-30T13:57:39.298415,106,10.456211,4331.39,50
2026-03-30T13:57:44.759376,44,8.176310,2925.03,50
2026-03-30T13:57:50.651599,85,10.839211,2001.16,50
2026-03-30T13:58:02.493077,170,10.336745,8391.64,49
2026-03-30T13:58:09.416511,522,8.624338,3984.94,50
2026-03-30T13:58:14.660657,49,11.694147,1486.85,49
2026-03-30T13:58:17.385227,36,8.318690,2121.55,50
2026-03-30T13:58:26.482665,640,9.495346,6033.05,50
2026-03-30T13:58:38.514971,811,7.671455,7843.35,50
2026-03-30T13:58:50.304330,325,9.351222,9252.70,50
2026-03-30T13:58:56.086733,36,10.071477,2817.98,50
2026-03-30T13:59:00.045977,83,10.697330,2867.64,50
2026-03-30T13:59:08.561846,915,10.765032,6061.37,50
2026-03-30T13:59:12.120702,12,8.835279,709.08,50
2026-03-30T13:59:17.310275,57,12.468421,3987.50,50
2026-03-30T13:59:19.518591,21,9.986464,1112.06,50
2026-03-30T13:59:21.544704,66,11.351624,1496.13,50
2026-03-30T13:59:24.279641,10,7.940516,1994.58,50
2026-03-30T13:59:30.633978,2263,8.486975,3153.47,50
2026-03-30T13:59:39.239533,166,11.066019,6334.22,50
2026-03-30T13:59:48.137454,9,10.016826,4939.30,50
